# This file serves as an input for a custom extra functionality that adds constraints
# targeted at heat pumps in the model. Three types of constraints can be added
# 1. added capacity: This constraint limits the total added capacity of heat pumps in the model.
#    It is restricting `p_nom_opt`, i.e. the nominal heat output capacity of heat pumps.
#    It only affects heat pump Link components that are set to `p_nom_extendable = True` in the model.
# 2. supplied heat: This constraint limits the total supplied heat from heat pumps in the model.
#    It is restricting the total heat output from heat pumps, which is calculated as the sum of `p0`
#    over all snapshots and all heat pump Link components.
# 3. used electricity: This constraint limits the total electricity used by heat pumps in the model.
#    It is restricting the total electricity input to heat pumps, which is calculated as the sum of 
#    `p0` multiplied by the efficiency of the heat pump over all snapshots and all heat pump Link components.
#
# The `name_regex` column allows to specify the affected components by a regex pattern, i.e. all
# Link components matching this pattern will be subjected to the constraint logic.
# See https://docs.python.org/3/library/re.html and regex101.com/ for help on regex patterns.
#
# The `lower` and `upper` columns specify the lower and upper bounds for the constraint in MW (for capacity) or MWh (for supplied heat and used electricity).
# If a bound is not specified, it will be ignored and no constraint will be applied for that bound.
#
# The `planning_horizon` column specifies the year for which the constraint is applied and is matched
# again the `planning_horizon` wildcard of the model run.

planning_horizon,name_regex,constraint_type,lower,upper
# 2030,"DE.+ heat pump-2030","added capacity",1000,
# 2030,"DE.+ heat pump-2030","supplied heat",1000000,
2030,"AT.+ heat pump-\d{4}","used electricity",4.24484755e6,7.883288308e6
2040,"AT.+ heat pump-\d{4}","used electricity",9.168536416e6,9.168536416e6
2030,"BE.+ heat pump-\d{4}","used electricity",10.98227212e6,20.39564823e6
2040,"BE.+ heat pump-\d{4}","used electricity",18.77432082e6,22.98550942e6
2030,"BG.+ heat pump-\d{4}","used electricity",3.271219364e6,6.075121676e6
2040,"BG.+ heat pump-\d{4}","used electricity",3.883117401e6,4.683453689e6
2030,"HR.+ heat pump-\d{4}","used electricity",2.027629454e6,3.765597558e6
2040,"HR.+ heat pump-\d{4}","used electricity",2.880433299e6,3.692365692e6
2030,"CY.+ heat pump-\d{4}","used electricity",0.898445828e6,1.668542252e6
2040,"CY.+ heat pump-\d{4}","used electricity",1.86283398e6,2.177821362e6
2030,"CZ.+ heat pump-\d{4}","used electricity",7.072229658e6,13.13414079e6
2040,"CZ.+ heat pump-\d{4}","used electricity",24.72086036e6,30.67631168e6
2030,"DK.+ heat pump-\d{4}","used electricity",2.196596744e6,4.079393952e6
2040,"DK.+ heat pump-\d{4}","used electricity",3.957500009e6,4.002636284e6
2030,"EE.+ heat pump-\d{4}","used electricity",1.425263457e6,2.646917849e6
2040,"EE.+ heat pump-\d{4}","used electricity",1.897194504e6,2.150288712e6
2030,"FI.+ heat pump-\d{4}","used electricity",19.41884592e6,36.06357099e6
2040,"FI.+ heat pump-\d{4}","used electricity",27.78745046e6,27.78745046e6
2030,"FR.+ heat pump-\d{4}","used electricity",53.91997382e6,100.1370942e6
2040,"FR.+ heat pump-\d{4}","used electricity",72.18463201e6,79.62056284e6
2030,"DE.+ heat pump-\d{4}","used electricity",40.76414303e6,75.70483705e6
2040,"DE.+ heat pump-\d{4}","used electricity",80.52218847e6,81.25841881e6
2030,"GR.+ heat pump-\d{4}","used electricity",7.951581601e6,14.76722297e6
2040,"GR.+ heat pump-\d{4}","used electricity",9.724611077e6,12.05391388e6
2030,"HU.+ heat pump-\d{4}","used electricity",2.594900535e6,4.819100995e6
2040,"HU.+ heat pump-\d{4}","used electricity",2.71995112e6,3.092259072e6
2030,"IE.+ heat pump-\d{4}","used electricity",4.79063468e6,8.896892978e6
2040,"IE.+ heat pump-\d{4}","used electricity",4.754115337e6,5.791092188e6
2030,"IT.+ heat pump-\d{4}","used electricity",20.79835302e6,38.62551275e6
2040,"IT.+ heat pump-\d{4}","used electricity",37.96241066e6,51.16203124e6
2030,"LV.+ heat pump-\d{4}","used electricity",0.4813749353e6,0.8939820227e6
2040,"LV.+ heat pump-\d{4}","used electricity",0.659474035e6,0.715882924e6
2030,"LT.+ heat pump-\d{4}","used electricity",0.4560070039e6,0.8468701501e6
2040,"LT.+ heat pump-\d{4}","used electricity",1.70172932e6,2.099130411e6
2030,"LU.+ heat pump-\d{4}","used electricity",0.941285807e6,1.748102213e6
2040,"LU.+ heat pump-\d{4}","used electricity",1.457641946e6,1.54328624e6
2030,"MT.+ heat pump-\d{4}","used electricity",0.705420436e6,1.310066524e6
2040,"MT.+ heat pump-\d{4}","used electricity",1.008580403e6,1.218923459e6
2030,"NL.+ heat pump-\d{4}","used electricity",8.927172591e6,16.57903481e6
2040,"NL.+ heat pump-\d{4}","used electricity",30.31214691e6,37.3363413e6
2030,"PL.+ heat pump-\d{4}","used electricity",22.9758911e6,42.66951205e6
2040,"PL.+ heat pump-\d{4}","used electricity",33.93858662e6,42.31017053e6
2030,"PT.+ heat pump-\d{4}","used electricity",5.176792249e6,9.614042749e6
2040,"PT.+ heat pump-\d{4}","used electricity",7.169535559e6,8.094903494e6
2030,"RO.+ heat pump-\d{4}","used electricity",4.475595971e6,8.311821089e6
2040,"RO.+ heat pump-\d{4}","used electricity",8.229444176e6,9.802035381e6
2030,"SK.+ heat pump-\d{4}","used electricity",3.875275893e6,7.196940943e6
2040,"SK.+ heat pump-\d{4}","used electricity",5.580894896e6,7.782309559e6
2030,"SI.+ heat pump-\d{4}","used electricity",1.616037903e6,3.001213249e6
2040,"SI.+ heat pump-\d{4}","used electricity",2.627385495e6,2.946947653e6
2030,"ES.+ heat pump-\d{4}","used electricity",16.77515634e6,31.15386178e6
2040,"ES.+ heat pump-\d{4}","used electricity",21.76455632e6,27.00207952e6
2030,"SE.+ heat pump-\d{4}","used electricity",26.08696699e6,48.44722441e6
2040,"SE.+ heat pump-\d{4}","used electricity",40.63499286e6,40.63499286e6
